 written on 12Dec2022 at 11:54:41 
           2
          21
    4    2    4    4    2    4    4    2    4    2    1    2    4    2    4
    4    2    4    4    2    4
   -1   -1   -1    1    1   -0.159025   -0.000000
   -1   -1   -1    2    1   -0.070584   -0.013447
   -1   -1   -1    1    2   -0.070584    0.013447
   -1   -1   -1    2    2   -0.159049   -0.000000
   -1   -1    0    1    1   -0.700756    0.000000
   -1   -1    0    2    1   -0.070578   -0.013446
   -1   -1    0    1    2   -0.070578    0.013446
   -1   -1    0    2    2   -0.700774   -0.000000
   -1   -1    1    1    1   -0.159025   -0.000000
   -1   -1    1    2    1   -0.070584   -0.013447
   -1   -1    1    1    2   -0.070584    0.013447
   -1   -1    1    2    2   -0.159049   -0.000000
   -1    0   -1    1    1   -0.158889    0.000000
   -1    0   -1    2    1   -0.325611   -0.062372
   -1    0   -1    1    2   -0.325611    0.062372
   -1    0   -1    2    2   -0.158916   -0.000000
   -1    0    0    1    1   -0.700762   -0.000000
   -1    0    0    2    1   -0.325604   -0.062371
   -1    0    0    1    2   -0.325604    0.062371
   -1    0    0    2    2   -0.700790   -0.000000
   -1    0    1    1    1   -0.158889   -0.000000
   -1    0    1    2    1   -0.325611   -0.062372
   -1    0    1    1    2   -0.325611    0.062372
   -1    0    1    2    2   -0.158916   -0.000000
    0   -1   -1    1    1   -0.158889   -0.000000
    0   -1   -1    2    1   -0.325611   -0.062372
    0   -1   -1    1    2   -0.325611    0.062372
    0   -1   -1    2    2   -0.158916    0.000000
    0   -1    0    1    1   -0.700762   -0.000000
    0   -1    0    2    1   -0.325604   -0.062371
    0   -1    0    1    2   -0.325604    0.062371
    0   -1    0    2    2   -0.700790   -0.000000
    0   -1    1    1    1   -0.158889   -0.000000
    0   -1    1    2    1   -0.325611   -0.062372
    0   -1    1    1    2   -0.325611    0.062372
    0   -1    1    2    2   -0.158916   -0.000000
    0    0   -1    1    1    0.185465   -0.000000
    0    0   -1    2    1   -0.325602   -0.062288
    0    0   -1    1    2   -0.325602    0.062288
    0    0   -1    2    2    0.185481   -0.000000
    0    0    0    1    1   14.565516   -0.000000
    0    0    0    2    1   -0.325597   -0.062287
    0    0    0    1    2   -0.325597    0.062287
    0    0    0    2    2   14.565531    0.000000
    0    0    1    1    1    0.185465    0.000000
    0    0    1    2    1   -0.325602   -0.062288
    0    0    1    1    2   -0.325602    0.062288
    0    0    1    2    2    0.185481    0.000000
    0    1   -1    1    1   -0.158889   -0.000000
    0    1   -1    2    1   -0.325611   -0.062372
    0    1   -1    1    2   -0.325611    0.062372
    0    1   -1    2    2   -0.158916    0.000000
    0    1    0    1    1   -0.700762    0.000000
    0    1    0    2    1   -0.325604   -0.062371
    0    1    0    1    2   -0.325604    0.062371
    0    1    0    2    2   -0.700790    0.000000
    0    1    1    1    1   -0.158889   -0.000000
    0    1    1    2    1   -0.325611   -0.062372
    0    1    1    1    2   -0.325611    0.062372
    0    1    1    2    2   -0.158916    0.000000
    1    0   -1    1    1   -0.158889    0.000000
    1    0   -1    2    1   -0.325611   -0.062372
    1    0   -1    1    2   -0.325611    0.062372
    1    0   -1    2    2   -0.158916   -0.000000
    1    0    0    1    1   -0.700762    0.000000
    1    0    0    2    1   -0.325604   -0.062371
    1    0    0    1    2   -0.325604    0.062371
    1    0    0    2    2   -0.700790    0.000000
    1    0    1    1    1   -0.158889    0.000000
    1    0    1    2    1   -0.325611   -0.062372
    1    0    1    1    2   -0.325611    0.062372
    1    0    1    2    2   -0.158916   -0.000000
    1    1   -1    1    1   -0.159025   -0.000000
    1    1   -1    2    1   -0.070584   -0.013447
    1    1   -1    1    2   -0.070584    0.013447
    1    1   -1    2    2   -0.159049   -0.000000
    1    1    0    1    1   -0.700756    0.000000
    1    1    0    2    1   -0.070578   -0.013446
    1    1    0    1    2   -0.070578    0.013446
    1    1    0    2    2   -0.700774   -0.000000
    1    1    1    1    1   -0.159025   -0.000000
    1    1    1    2    1   -0.070584   -0.013447
    1    1    1    1    2   -0.070584    0.013447
    1    1    1    2    2   -0.159049   -0.000000
