 written on 12Dec2022 at 11:54:38 
           2
          21
    4    2    4    4    2    4    4    2    4    2    1    2    4    2    4
    4    2    4    4    2    4
   -1   -1   -1    1    1    0.002809    0.000000
   -1   -1   -1    2    1   -0.003944   -0.000000
   -1   -1   -1    1    2   -0.003944    0.000000
   -1   -1   -1    2    2    0.002809   -0.000000
   -1   -1    0    1    1   -0.119642    0.000000
   -1   -1    0    2    1   -0.003944   -0.000000
   -1   -1    0    1    2   -0.003944    0.000000
   -1   -1    0    2    2   -0.119642   -0.000000
   -1   -1    1    1    1    0.002809    0.000000
   -1   -1    1    2    1   -0.003944   -0.000000
   -1   -1    1    1    2   -0.003944    0.000000
   -1   -1    1    2    2    0.002809   -0.000000
   -1    0   -1    1    1    0.002806   -0.000000
   -1    0   -1    2    1   -0.064062   -0.000000
   -1    0   -1    1    2   -0.064062    0.000000
   -1    0   -1    2    2    0.002806   -0.000000
   -1    0    0    1    1   -0.119605    0.000000
   -1    0    0    2    1   -0.064061   -0.000000
   -1    0    0    1    2   -0.064061    0.000000
   -1    0    0    2    2   -0.119605    0.000000
   -1    0    1    1    1    0.002806   -0.000000
   -1    0    1    2    1   -0.064062   -0.000000
   -1    0    1    1    2   -0.064062    0.000000
   -1    0    1    2    2    0.002806   -0.000000
    0   -1   -1    1    1    0.002806    0.000000
    0   -1   -1    2    1   -0.064062   -0.000000
    0   -1   -1    1    2   -0.064062    0.000000
    0   -1   -1    2    2    0.002806    0.000000
    0   -1    0    1    1   -0.119605    0.000000
    0   -1    0    2    1   -0.064061   -0.000000
    0   -1    0    1    2   -0.064061    0.000000
    0   -1    0    2    2   -0.119605    0.000000
    0   -1    1    1    1    0.002806    0.000000
    0   -1    1    2    1   -0.064062   -0.000000
    0   -1    1    1    2   -0.064062    0.000000
    0   -1    1    2    2    0.002806   -0.000000
    0    0   -1    1    1   -0.002506    0.000000
    0    0   -1    2    1   -0.064005   -0.000000
    0    0   -1    1    2   -0.064005    0.000000
    0    0   -1    2    2   -0.002506    0.000000
    0    0    0    1    1   -7.612674   -0.000000
    0    0    0    2    1   -0.064004   -0.000000
    0    0    0    1    2   -0.064004    0.000000
    0    0    0    2    2   -7.612669   -0.000000
    0    0    1    1    1   -0.002506   -0.000000
    0    0    1    2    1   -0.064005   -0.000000
    0    0    1    1    2   -0.064005    0.000000
    0    0    1    2    2   -0.002506   -0.000000
    0    1   -1    1    1    0.002806    0.000000
    0    1   -1    2    1   -0.064062   -0.000000
    0    1   -1    1    2   -0.064062    0.000000
    0    1   -1    2    2    0.002806    0.000000
    0    1    0    1    1   -0.119605   -0.000000
    0    1    0    2    1   -0.064061   -0.000000
    0    1    0    1    2   -0.064061    0.000000
    0    1    0    2    2   -0.119605   -0.000000
    0    1    1    1    1    0.002806    0.000000
    0    1    1    2    1   -0.064062   -0.000000
    0    1    1    1    2   -0.064062    0.000000
    0    1    1    2    2    0.002806   -0.000000
    1    0   -1    1    1    0.002806   -0.000000
    1    0   -1    2    1   -0.064062   -0.000000
    1    0   -1    1    2   -0.064062    0.000000
    1    0   -1    2    2    0.002806   -0.000000
    1    0    0    1    1   -0.119605   -0.000000
    1    0    0    2    1   -0.064061   -0.000000
    1    0    0    1    2   -0.064061    0.000000
    1    0    0    2    2   -0.119605   -0.000000
    1    0    1    1    1    0.002806   -0.000000
    1    0    1    2    1   -0.064062   -0.000000
    1    0    1    1    2   -0.064062    0.000000
    1    0    1    2    2    0.002806   -0.000000
    1    1   -1    1    1    0.002809    0.000000
    1    1   -1    2    1   -0.003944   -0.000000
    1    1   -1    1    2   -0.003944    0.000000
    1    1   -1    2    2    0.002809   -0.000000
    1    1    0    1    1   -0.119642    0.000000
    1    1    0    2    1   -0.003944   -0.000000
    1    1    0    1    2   -0.003944    0.000000
    1    1    0    2    2   -0.119642   -0.000000
    1    1    1    1    1    0.002809    0.000000
    1    1    1    2    1   -0.003944   -0.000000
    1    1    1    1    2   -0.003944    0.000000
    1    1    1    2    2    0.002809   -0.000000
